TEAM_AWAY,SPREAD_AWAY_PTS,SPREAD_AWAY_ODDS,TEAM_HOME,SPREAD_HOME_PTS,SPREAD_HOME_ODDS,TOTAL_PTS,TOTAL_OVER_ODDS,TOTAL_UNDER_ODDS,MONEYLINE_AWAY,MONEYLINE_HOME
SF Giants,-1.5,2.35,TOR Blue Jays,+1.5,1.606060606060606,8,1.8771929824561404,1.9433962264150944,1.8333333333333335,1.9803921568627452
CIN Reds,+1.5,1.6944444444444444,NY Mets,-1.5,2.1799999999999997,9,1.99009900990099,1.8264462809917354,2.48,1.5524861878453038
KC Royals,-1.5,2.37,MIA Marlins,+1.5,1.5988023952095807,8.5,1.8928571428571428,1.9174311926605505,1.8064516129032258,2.02
LA Angels,+1.5,1.5524861878453038,PHI Phillies,-1.5,2.48,9.5,1.8928571428571428,1.925925925925926,2.09,1.7575757575757576
CHI White Sox,+1.5,1.5494505494505495,PIT Pirates,-1.5,2.49,8.5,1.970873786407767,1.847457627118644,2.12,1.72992700729927
SD Padres,-1.5,2.09,WAS Nationals,+1.5,1.7575757575757576,9,1.9433962264150944,1.8695652173913042,1.641025641025641,2.2800000000000002
DET Tigers,-1.5,2.4299999999999997,TEX Rangers,+1.5,1.5714285714285714,8.5,1.8695652173913042,1.9523809523809523,1.925925925925926,1.8928571428571428
BAL Orioles,-1.5,2.56,TB Rays,+1.5,1.5208333333333335,9,1.8849557522123894,1.925925925925926,1.99009900990099,1.8264462809917354
Athletics,+1.5,1.5681818181818183,CLE Guardians,-1.5,2.44,8.5,1.8130081300813008,2.01,2.13,1.72992700729927
NY Yankees,-1.5,2.2800000000000002,ATL Braves,+1.5,1.641025641025641,9.5,1.9803921568627452,1.8333333333333335,1.7936507936507935,2.04
BOS Red Sox,+1.5,1.6097560975609757,CHI Cubs,-1.5,2.34,9,1.9523809523809523,1.8695652173913042,2.24,1.6622516556291391
STL Cardinals,-1.5,2.4,ARI Diamondbacks,+1.5,1.5847953216374269,8.5,1.9090909090909092,1.9090909090909092,1.8403361344537816,1.9803921568627452
MIN Twins,-1.5,1.7874015748031495,COL Rockies,+1.5,2.04,11.5,1.9090909090909092,1.9090909090909092,1.53475935828877,2.52
MIL Brewers,+1.5,1.5464480874316942,LA Dodgers,-1.5,2.49,9,2.01,1.819672131147541,2.12,1.7352941176470589
HOU Astros,-1.5,2.63,SEA Mariners,+1.5,1.4975124378109452,8,1.9174311926605505,1.8928571428571428,2.01,1.8130081300813008
