TEAM_AWAY,SPREAD_AWAY_PTS,SPREAD_AWAY_ODDS,TEAM_HOME,SPREAD_HOME_PTS,SPREAD_HOME_ODDS,TOTAL_PTS,TOTAL_OVER_ODDS,TOTAL_UNDER_ODDS,MONEYLINE_AWAY,MONEYLINE_HOME
Boston Red Sox,+1.5,1.526315789473684,Chicago Cubs,-1.5,2.6,7.5,1.9090909090909092,1.9090909090909092,2.15,1.7407407407407407
Chicago White Sox,+1.5,1.5714285714285714,Pittsburgh Pirates,-1.5,2.3,8.5,1.8333333333333335,2.0,2.35,1.625
Los Angeles Angels,+1.5,1.8695652173913042,Philadelphia Phillies,-1.5,1.9523809523809523,9.5,2.05,1.8,2.7,1.4878048780487805
San Diego Padres,-1.5,2.2,Washington Nationals,+1.5,1.6896551724137931,8.5,1.9523809523809523,1.8695652173913042,1.6666666666666665,2.25
San Francisco Giants,+1.5,1.5714285714285714,Toronto Blue Jays,-1.5,2.45,8.5,1.8695652173913042,1.9523809523809523,2.1,1.7692307692307692
Cincinnati Reds,+1.5,1.606060606060606,New York Mets,-1.5,2.35,7.5,2.0,1.8333333333333335,2.25,1.6666666666666665
Kansas City Royals,-1.5,2.45,Miami Marlins,+1.5,1.5714285714285714,7.5,1.9090909090909092,1.9090909090909092,1.8695652173913042,1.9523809523809523
Athletics,+1.5,1.526315789473684,Cleveland Guardians,-1.5,2.6,7.5,1.7692307692307692,2.1,2.1,1.7692307692307692
New York Yankees,+1.5,1.5555555555555556,Atlanta Braves,-1.5,2.5,8.5,1.8333333333333335,2.0,2.15,1.7407407407407407
Baltimore Orioles,+1.5,1.5,Tampa Bay Rays,-1.5,2.65,8.5,1.7692307692307692,2.1,2.1,1.7692307692307692
Detroit Tigers,-1.5,2.6,Texas Rangers,+1.5,1.526315789473684,8.5,1.8695652173913042,1.9523809523809523,1.9090909090909092,1.9090909090909092
Minnesota Twins,-1.5,1.8695652173913042,Colorado Rockies,+1.5,1.9523809523809523,10.5,1.8,2.05,1.5555555555555556,2.5
St. Louis Cardinals,-1.5,2.5,Arizona Diamondbacks,+1.5,1.5555555555555556,8.5,1.8333333333333335,2.0,1.9523809523809523,1.8695652173913042
Houston Astros,+1.5,1.5555555555555556,Seattle Mariners,-1.5,2.6,7.5,2.2,1.6896551724137931,2.2,1.6451612903225805
Milwaukee Brewers,+1.5,1.7692307692307692,Los Angeles Dodgers,-1.5,2.1,8.5,1.9523809523809523,1.8695652173913042,2.6,1.526315789473684
